trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.2515785530597565}",20,12,7.090847975032829,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2490753046316682}",20,1,-40.690084786549704,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160646}",20,2,-4.022244956454173,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,4,5.2577962879049815,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703648}",25,8,-47.13610987544194,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,11,17.367845797576898,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2369277586821218}",25,0,-6.082882868478448,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.23457028809379768}",25,0,-64.87118794732814,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23223627472975886}",20,12,-42.65740441538422,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672387}",20,13,11.853407157486766,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381276}",25,7,-13.603198023918162,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943875}",20,0,19.172262869851842,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22313016014842985}",20,6,-90.76911707777107,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
151,False,"{'a': 0.5, 'e': 0.22090997795937822}",25,6,-39.147457108311734,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221477}",20,3,29.02941009258798,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,4,-20.816614408569098,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697797}",25,13,-3.237178695263889,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674307}",20,0,-2.4047188932724577,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21013607120076475}",20,0,-57.903019952502405,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,8,-32.69180367947557,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488347}",20,14,-29.468999425139586,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421345}",25,0,19.433539370460053,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2018965179946554}",25,16,1.23222412498515,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",30,5,-54.16418635808473,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361468}",30,0,27.952593820862653,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,12,11.533215736755118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,8,18.98280466948982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1920499086207541}",20,4,10.301861002085852,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19013898010152053}",20,0,-73.34575973577378,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",30,8,22.053599541812673,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603941}",20,15,10.001210129081155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.1845195239929893}",20,12,18.20346387427138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
